31.8	5.63513
31.9	5.63518
32	5.63523
32.1	5.63528
32.2	5.63532
32.3	5.63537
32.4	5.63541
32.5	5.63546
32.6	5.6355
32.7	5.63554
32.8	5.63558
32.9	5.63562
33	5.63566
33.1	5.6357
33.2	5.63574
33.3	5.63578
33.4	5.63581
33.5	5.63585
33.6	5.63588
33.7	5.63592
33.8	5.63595
33.9	5.63598
34	5.63602
34.1	5.63605
34.2	5.63608
34.3	5.63611
34.4	5.63614
34.5	5.63617
34.6	5.6362
34.7	5.63623
34.8	5.63626
34.9	5.63628
35	5.63631
35.1	5.63634
35.2	5.63636
35.3	5.63639
35.4	5.63641
35.5	5.63644
35.6	5.63646
35.7	5.63648
35.8	5.63651
35.9	5.63653
36	5.63655
36.1	5.63657
36.2	5.63659
36.3	5.63661
36.4	5.63663
36.5	5.63665
36.6	5.63667
36.7	5.63669
36.8	5.63671
36.9	5.63673
37	5.63675
37.1	5.63677
37.2	5.63678
37.3	5.6368
37.4	5.63682
37.5	5.63683
37.6	5.63685
37.7	5.63687
37.8	5.63688
37.9	5.6369
38	5.63691
38.1	5.63693
38.2	5.63694
38.3	5.63695
38.4	5.63697
38.5	5.63698
38.6	5.63699
38.7	5.63701
38.8	5.63702
38.9	5.63703
39	5.63705
39.1	5.63706
39.2	5.63707
39.3	5.63708
39.4	5.63709
39.5	5.6371
39.6	5.63711
39.7	5.63712
39.8	5.63714
39.9	5.63715
40	5.63716
40.1	5.63717
40.2	5.63718
40.3	5.63718
40.4	5.63719
40.5	5.6372
40.6	5.63721
40.7	5.63722
40.8	5.63723
40.9	5.63724
41	5.63725
41.1	5.63725
41.2	5.63726
41.3	5.63727
41.4	5.63728
41.5	5.63729
41.6	5.63729
41.7	5.6373
41.8	5.63731
41.9	5.63731
42	5.63732
42.1	5.63733
42.2	5.63733
42.3	5.63734
42.4	5.63735
42.5	5.63735
42.6	5.63736
42.7	5.63737
42.8	5.63737
42.9	5.63738
43	5.63738
43.1	5.63739
43.2	5.63739
43.3	5.6374
43.4	5.6374
43.5	5.63741
43.6	5.63741
43.7	5.63742
43.8	5.63742
43.9	5.63743
44	5.63743
44.1	5.63744
44.2	5.63744
44.3	5.63745
44.4	5.63745
44.5	5.63745
44.6	5.63746
44.7	5.63746
44.8	5.63747
44.9	5.63747
45	5.63747
45.1	5.63748
45.2	5.63748
45.3	5.63749
45.4	5.63749
45.5	5.63749
45.6	5.6375
45.7	5.6375
45.8	5.6375
45.9	5.63751
46	5.63751
46.1	5.63751
46.2	5.63751
46.3	5.63752
46.4	5.63752
46.5	5.63752
46.6	5.63753
46.7	5.63753
46.8	5.63753
46.9	5.63753
47	5.63754
47.1	5.63754
47.2	5.63754
47.3	5.63754
47.4	5.63755
47.5	5.63755
47.6	5.63755
47.7	5.63755
47.8	5.63756
47.9	5.63756
48	5.63756
48.1	5.63756
48.2	5.63756
48.3	5.63757
48.4	5.63757
48.5	5.63757
48.6	5.63757
48.7	5.63757
48.8	5.63758
48.9	5.63758
49	5.63758
49.1	5.63758
49.2	5.63758
49.3	5.63758
49.4	5.63759
49.5	5.63759
49.6	5.63759
49.7	5.63759
49.8	5.63759
49.9	5.63759
50	5.63759
50.1	5.6376
50.2	5.6376
50.3	5.6376
50.4	5.6376
50.5	5.6376
50.6	5.6376
50.7	5.6376
50.8	5.63761
50.9	5.63761
51	5.63761
51.1	5.63761
51.2	5.63761
51.3	5.63761
51.4	5.63761
51.5	5.63761
51.6	5.63761
51.7	5.63762
51.8	5.63762
51.9	5.63762
52	5.63762
52.1	5.63762
52.2	5.63762
52.3	5.63762
52.4	5.63762
52.5	5.63762
52.6	5.63762
52.7	5.63762
52.8	5.63763
52.9	5.63763
53	5.63763
53.1	5.63763
53.2	5.63763
53.3	5.63763
53.4	5.63763
53.5	5.63763
53.6	5.63763
53.7	5.63763
53.8	5.63763
53.9	5.63763
54	5.63763
54.1	5.63763
54.2	5.63764
54.3	5.63764
54.4	5.63764
54.5	5.63764
54.6	5.63764
54.7	5.63764
54.8	5.63764
54.9	5.63764
55	5.63764
55.1	5.63764
55.2	5.63764
55.3	5.63764
55.4	5.63764
55.5	5.63764
55.6	5.63764
55.7	5.63764
55.8	5.63764
55.9	5.63764
56	5.63765
56.1	5.63765
56.2	5.63765
56.3	5.63765
56.4	5.63765
56.5	5.63765
56.6	5.63765
56.7	5.63765
56.8	5.63765
56.9	5.63765
57	5.63765
57.1	5.63765
57.2	5.63765
57.3	5.63765
57.4	5.63765
57.5	5.63765
57.6	5.63765
57.7	5.63765
57.8	5.63765
57.9	5.63765
58	5.63765
58.1	5.63765
58.2	5.63765
58.3	5.63765
58.4	5.63765
58.5	5.63765
58.6	5.63765
58.7	5.63765
58.8	5.63765
58.9	5.63765
59	5.63766
59.1	5.63766
59.2	5.63766
59.3	5.63766
59.4	5.63766
59.5	5.63766
59.6	5.63766
59.7	5.63766
59.8	5.63766
59.9	5.63766
60	5.63766
60.1	5.63766
60.2	5.63766
60.3	5.63766
60.4	5.63766
60.5	5.63766
60.6	5.63766
60.7	5.63766
60.8	5.63766
60.9	5.63766
61	5.63766
61.1	5.63766
61.2	5.63766
61.3	5.63766
61.4	5.63766
61.5	5.63766
61.6	5.63766
61.7	5.63766
61.8	5.63766
61.9	5.63766
62	5.63766
62.1	5.63766
62.2	5.63766
62.3	5.63766
62.4	5.63766
62.5	5.63766
62.6	5.63766
62.7	5.63766
62.8	5.63766
62.9	5.63766
63	5.63766
63.1	5.63766
63.2	5.63766
63.3	5.63766
63.4	5.63766
63.5	5.63766
63.6	5.63766
63.7	5.63766
63.8	5.63766
63.9	5.63766
64	5.63766
64.1	5.63766
64.2	5.63766
64.3	5.63766
64.4	5.63766
64.5	5.63766
64.6	5.63766
64.7	5.63766
64.8	5.63766
64.9	5.63766
65	5.63766
65.1	5.63766
65.2	5.63766
65.3	5.63766
65.4	5.63766
65.5	5.63766
65.6	5.63766
65.7	5.63766
